"Record Type","Name","Prompt Text","Description","Model / Motion Effect","Tool Type","Generation Style","Visual Subject","Category","Preset","Aspect Ratio","Duration (s)","Quality","Badges","Word Count","Char Count","Asset Count","Asset Type","Thumbnail (repo path)","Full-Res Asset URL","Poster URL","Asset Pairing","Recreate Model","Lesson","Lesson Timestamp (s)","Confidence","Site Section","Extraction Source","Sample Media URL","Source Page URL"
"Preset / Effect","Sketch","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","5","video","thumbs/2e154721e4a31485__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_34hPp7fXOu4gkTrKKk2ESqFSfG1/58b2c804-2d52-4a29-a5f0-c11c50b4a89f.mp4","https://cdn.higgsfield.ai/user_34hPp7fXOu4gkTrKKk2ESqFSfG1/58b2c804-2d52-4a29-a5f0-c11c50b4a89f_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_34hPp7fXOu4gkTrKKk2ESqFSfG1/58b2c804-2d52-4a29-a5f0-c11c50b4a89f.mp4","https://higgsfield.ai/mixed-media-presets/preset/6377b231-5cea-4259-8a6b-0314728c1982"
"Preset / Effect","Acid","","","Mixed Media","Mixed Media Preset","Glitch / Experimental","","","","","","","","","","5","video","thumbs/fbdc2e33f8de0577__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_32EcRyiEXuuaRsd6l97gBl9bCTU/11831e74-9312-4129-bdd9-b475b371289a.mp4","https://cdn.higgsfield.ai/user_32EcRyiEXuuaRsd6l97gBl9bCTU/11831e74-9312-4129-bdd9-b475b371289a_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_32EcRyiEXuuaRsd6l97gBl9bCTU/11831e74-9312-4129-bdd9-b475b371289a.mp4","https://higgsfield.ai/mixed-media-presets/preset/b501a54d-7c2a-42f8-a47d-484cbdace0a6"
"Preset / Effect","Two color","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","4","video","thumbs/b26dd9496e4188e6__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_2vV68Ukpv101mL5Dprsk6JvfLMI/7ba7945f-4262-4d6f-b28f-b4167b6034a0.mp4","https://cdn.higgsfield.ai/user_2vV68Ukpv101mL5Dprsk6JvfLMI/7ba7945f-4262-4d6f-b28f-b4167b6034a0_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_2vV68Ukpv101mL5Dprsk6JvfLMI/7ba7945f-4262-4d6f-b28f-b4167b6034a0.mp4","https://higgsfield.ai/mixed-media-presets/preset/ac3612ce-b1c9-4034-a04b-b46732c2d7a3"
"Preset / Effect","Bubbles","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","4","video","thumbs/83ae394a89495a7a__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_34ymCzBjd5sPiSK3FtejvJl09UP/a1cfdce0-2fa9-4208-83ca-b1024bd00e38.mp4","https://cdn.higgsfield.ai/user_34ymCzBjd5sPiSK3FtejvJl09UP/a1cfdce0-2fa9-4208-83ca-b1024bd00e38_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_34ymCzBjd5sPiSK3FtejvJl09UP/a1cfdce0-2fa9-4208-83ca-b1024bd00e38.mp4","https://higgsfield.ai/mixed-media-presets/preset/dacdca94-27b2-417a-bc8c-6d4168e6109a"
"Preset / Effect","Overexposed","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","4","video","thumbs/2fb2f0db87c4e196__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_2vV68Ukpv101mL5Dprsk6JvfLMI/aabf67f1-fb91-401f-9b06-0487ffd17f22.mp4","https://cdn.higgsfield.ai/user_2vV68Ukpv101mL5Dprsk6JvfLMI/aabf67f1-fb91-401f-9b06-0487ffd17f22_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_2vV68Ukpv101mL5Dprsk6JvfLMI/aabf67f1-fb91-401f-9b06-0487ffd17f22.mp4","https://higgsfield.ai/mixed-media-presets/preset/1c79bffd-0839-42c3-90ab-2cd7e6ff4619"
"Preset / Effect","Akrill","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","5","video","thumbs/336809d351064ff1__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_32EcRyiEXuuaRsd6l97gBl9bCTU/db01b2b2-9aca-4204-a9c0-f53192e41f4f.mp4","https://cdn.higgsfield.ai/user_32EcRyiEXuuaRsd6l97gBl9bCTU/db01b2b2-9aca-4204-a9c0-f53192e41f4f_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_32EcRyiEXuuaRsd6l97gBl9bCTU/db01b2b2-9aca-4204-a9c0-f53192e41f4f.mp4","https://higgsfield.ai/mixed-media-presets/preset/73f9e01d-eb92-41d6-9119-53cc2686ecfa"
"Preset / Effect","Random Glow","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","3","video","thumbs/7df456205905d532__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_32EcRyiEXuuaRsd6l97gBl9bCTU/a344eca2-e43b-4519-ad1d-112aec0f2447.mp4","https://cdn.higgsfield.ai/user_32EcRyiEXuuaRsd6l97gBl9bCTU/a344eca2-e43b-4519-ad1d-112aec0f2447_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_32EcRyiEXuuaRsd6l97gBl9bCTU/a344eca2-e43b-4519-ad1d-112aec0f2447.mp4","https://higgsfield.ai/mixed-media-presets/preset/f1706661-007e-424b-8734-b755d602d580"
"Preset / Effect","Windows","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","5","video","thumbs/ad6644733f250d75__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_32EcRyiEXuuaRsd6l97gBl9bCTU/0c2f0cd6-7cb9-4000-9302-516d291aeb85.mp4","https://cdn.higgsfield.ai/user_32EcRyiEXuuaRsd6l97gBl9bCTU/0c2f0cd6-7cb9-4000-9302-516d291aeb85_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_32EcRyiEXuuaRsd6l97gBl9bCTU/0c2f0cd6-7cb9-4000-9302-516d291aeb85.mp4","https://higgsfield.ai/mixed-media-presets/preset/4f7a1589-c604-44e5-b0ec-bc87d3929906"
"Preset / Effect","Magazine","","","Mixed Media","Mixed Media Preset","Fashion / Editorial","","","","","","","","","","5","video","thumbs/c672ec3d700c8915__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_34ymCzBjd5sPiSK3FtejvJl09UP/2432d260-f5e7-4232-9455-b4f21dfa8d08.mp4","https://cdn.higgsfield.ai/user_34ymCzBjd5sPiSK3FtejvJl09UP/2432d260-f5e7-4232-9455-b4f21dfa8d08_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_34ymCzBjd5sPiSK3FtejvJl09UP/2432d260-f5e7-4232-9455-b4f21dfa8d08.mp4","https://higgsfield.ai/mixed-media-presets/preset/963c3300-8967-4880-b078-c956de4c1e12"
"Preset / Effect","Comic","","","Mixed Media","Mixed Media Preset","","","","","","","","","","","5","video","thumbs/0d9bfbd4472bc96f__0.webp","https://d8j0ntlcm91z4.cloudfront.net/user_34hPp7fXOu4gkTrKKk2ESqFSfG1/c2c73cf8-d00e-450d-b648-baf96e14d880.mp4","https://cdn.higgsfield.ai/user_34hPp7fXOu4gkTrKKk2ESqFSfG1/c2c73cf8-d00e-450d-b648-baf96e14d880_thumbnail.webp","preset-preview","","","","High","mixed-media-presets","catalog_page","https://d8j0ntlcm91z4.cloudfront.net/user_34hPp7fXOu4gkTrKKk2ESqFSfG1/c2c73cf8-d00e-450d-b648-baf96e14d880.mp4","https://higgsfield.ai/mixed-media-presets/preset/94cd1315-c820-4314-806d-f1b0936e8a46"
